🕘️更新时间,#genre#
2026-07-25 16:53:46,http://www.wxzmz.com:8800/udp/239.49.8.19:9614

📺央视频道,#genre#
CCTV-1,http://www.wxzmz.com:8800/udp/239.49.8.19:9614
CCTV-1,http://dentist.dsmv.top:7777/udp/239.49.8.19:9614
CCTV-1,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv1hd
CCTV-1,http://miwifi.dbus.io:8622/rtp/239.3.1.129:8008
CCTV-1,http://192.151.150.154/live/cctv1hd.m3u8
CCTV-2,http://www.wxzmz.com:8800/udp/239.49.8.50:9802
CCTV-2,http://dentist.dsmv.top:7777/udp/239.49.8.50:9802
CCTV-2,http://192.151.150.154/live/cctv2hd.m3u8
CCTV-2,http://107.150.60.122/live/cctv2hd.m3u8
CCTV-2,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv2hd
CCTV-3,http://www.wxzmz.com:8800/udp/239.49.8.74:8000
CCTV-3,http://dentist.dsmv.top:7777/udp/239.49.8.74:8000
CCTV-3,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.172:8001
CCTV-3,http://miwifi.dbus.io:8622/rtp/239.3.1.172:8001
CCTV-3,http://183.62.8.58:50085/tsfile/live/faacts/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://miwifi.dbus.io:8622/rtp/239.3.1.105:8092
CCTV-4,http://www.wxzmz.com:8800/udp/239.49.8.51:9806
CCTV-4,http://dentist.dsmv.top:7777/udp/239.49.8.51:9806
CCTV-4,http://192.151.150.154/live/cctv4hd.m3u8
CCTV-4,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv4hd
CCTV-5,http://183.62.8.58:50085/tsfile/live/faacts/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://www.wxzmz.com:8800/udp/239.49.8.75:8000
CCTV-5,http://dentist.dsmv.top:7777/udp/239.49.8.75:8000
CCTV-5,http://miwifi.dbus.io:8622/rtp/239.3.1.173:8001
CCTV-5,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.173:8001
CCTV-5+,http://miwifi.dbus.io:8622/rtp/239.3.1.130:8004
CCTV-5+,http://www.wxzmz.com:8800/udp/239.49.8.18:9610
CCTV-5+,http://dentist.dsmv.top:7777/udp/239.49.8.18:9610
CCTV-5+,http://107.150.60.122/live/cctv5p.m3u8
CCTV-5+,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv5p
CCTV-6,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.174:8001
CCTV-6,http://www.wxzmz.com:8800/udp/239.49.8.76:8000
CCTV-6,http://dentist.dsmv.top:7777/udp/239.49.8.76:8000
CCTV-6,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv6hd
CCTV-6,http://107.150.60.122/live/cctv6hd.m3u8
CCTV-7,http://183.62.8.58:50085/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://miwifi.dbus.io:8622/rtp/239.3.1.61:8104
CCTV-7,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.61:8104
CCTV-7,http://107.150.60.122/live/cctv7hd.m3u8
CCTV-7,http://120.198.84.146:9901/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://miwifi.dbus.io:8622/rtp/239.3.1.175:8001
